	English	Latin	Swedish
ANT	0	272	0
ASH	285	1	4161
BACK	1618	3077	1413
BAD	1619	274	1612
BARK	1620	275	4162
BELLY	1142	276	1142
BIG	1621	277	69
BIRD	1622	278	1417
BITE	1418	279	1418
BITTER	0	280	0
BLACK	1623	281	1420
BLOOD	1421	282	1421
BLOW	283	283	283
BONE	1422	13	1422
BREATHE	1624	284	577
BURN	1423	285	1423
CARRY	0	5	0
CHEST	0	287	1261
CHILD	1627	2090	5
CLAW	0	288	0
CLOUD	1628	289	4163
COLD	317	290	317
COME	291	291	291
COUNT	1629	1379	4164
CRY	0	3078	0
CUT	1631	2424	492
DAY	15	295	15
DIE	1632	296	822
DIG	1633	297	1428
DIRTY	1634	1420	1579
DO	0	299	0
DOG	1635	300	300
DRINK	1431	30	1431
DRY	1540	301	303
DUST	1636	302	1432
EAR	33	33	33
EARTH	1433	303	2045
EAT	439	439	439
EGG	1637	36	36
EYE	37	37	37
FALL	1434	305	1434
FAR	286	1334	89
FAT	1435	3079	1435
FATHER	307	307	307
FEAR	1638	1384	4165
FEATHER	308	361	308
FIGHT	1543	3080	8
FIRE	444	928	1438
FISH	311	311	311
FIVE	47	47	47
FLOWER	1639	312	312
FLY_N	0	49	0
FLY_V	1417	313	1417
FOG	1640	431	1439
FOOT	315	315	315
FOREST	1246	3081	4166
FOUR	54	54	54
FREEZE	1441	317	1441
FRUIT	55	1759	55
FULL	0	56	56
GIVE	1442	57	1442
GO	0	58	0
GOOD	986	320	4167
GRASS	1444	321	1444
GREEN	1445	322	1445
GRIND	0	323	0
GUTS	1642	324	1446
HAIR	963	325	963
HAND	1447	326	1447
HARD	0	327	0
HEAD	328	328	328
HEAR	1448	329	1448
HEART	330	330	330
HEAVY	1643	692	1544
HERE	462	8	462
HIDE	0	299	0
HIT	1645	38	1437
HORN	0	66	66
HOT	0	333	45
HOUSE	0	466	0
HOW	74	74	74
HUNT	1647	0	4168
I	76	76	76
ICE	1452	335	1452
KILL	1648	299	1453
KNEE	79	79	79
KNOW	638	2424	372
LAKE	1649	219	1454
LAUGH	1455	338	4169
LEAF	1593	339	312
LEFT	1650	340	1456
LEG	1651	472	1422
LIE	950	342	950
LIVE	1595	343	1595
LIVER	1457	473	1457
LONG	89	89	89
LOUSE	1200	345	1200
MAN	1458	704	177
MEAT	1180	346	1459
MOON	0	347	706
MOTHER	348	348	348
MOUNTAIN	1652	326	378
MOUTH	1460	707	1460
NAIL	288	288	288
NAME	227	227	227
NARROW	1653	477	1461
NAVEL	0	351	0
NEAR	1462	1334	2050
NECK	1463	353	353
NEW	354	354	354
NIGHT	103	103	103
NOSE	355	355	355
NOT	229	229	1464
OLD	1550	179	1465
ONE	356	356	356
PERSON	357	34	357
PLAY	1654	3082	1467
PULL	1655	359	1468
PUSH	1656	1801	0
RAIN	1470	361	1470
RED	362	362	362
RIGHT	390	232	1471
RIVER	1554	363	409
ROOT	1657	115	115
ROTTEN	1658	364	4170
ROUND	1474	365	1474
RUN	0	366	0
SALT	367	367	367
SAND	1476	2480	1476
SAY	1477	369	1477
SCRATCH	1659	2095	0
SEA	1454	371	334
SEE	1479	372	2052
SEED	251	251	1480
SEW	373	373	373
SHADOW	0	374	0
SHARP	1482	237	1482
SHORT	1660	719	4172
SING	1484	376	1484
SIT	377	377	377
SKIN	1661	1485	1606
SKY	1662	379	4163
SLEEP	1559	380	502
SMALL	1461	2090	1607
SMELL	1663	504	4173
SMOKE	1664	383	1489
SMOOTH	1665	1221	1490
SNAKE	1491	138	417
SNOW	385	385	385
SPIT	242	242	242
STAND	69	69	69
STAR	387	387	387
STICK	1563	3083	8
STONE	1493	389	1493
STRAIGHT	1666	390	390
SUN	391	391	391
SWEET	0	392	0
SWELL	1495	3084	1495
SWIM	1496	393	1496
TAIL	1667	394	8
TAKE	0	334	0
THAT	151	3085	0
THERE	152	0	152
THEY	1669	397	153
THICK	1240	1725	1240
THIGH	0	3086	0
THIN	977	977	977
THINK	1565	401	1500
THIS	153	8	0
THREE	157	157	157
THROW	1570	342	1503
TIE	1670	159	4174
TONGUE	402	402	402
TOOTH	403	403	403
TREE	248	404	248
TRUE	390	390	390
TURN	1671	273	1612
TWO	165	165	165
VOMIT	1672	407	0
WALK	1673	1760	1504
WASH	1571	148	2069
WATER	168	409	168
WE	169	169	169
WET	168	405	168
WHAT	171	171	171
WHEN	172	172	172
WHERE	172	172	172
WHITE	900	1409	900
WHO	171	171	171
WIDE	0	412	1674
WIND	413	413	413
WING	1675	308	4175
WITH	1676	1254	176
WOMAN	1677	416	527
WORM	417	417	1616
YEAR	1509	418	1509
YELLOW	687	312	687
YESTERDAY	0	65	0
YOU_PL.	181	181	181
YOU_SG.	182	182	182
