	English	Latin	Swedish
ANT		formiːka	
ASH	æʃɪz	kinis	stɔft
BACK	bæk	tergum	rʏgː
BAD	bæd	malus	und
BARK	bɑ:k	korteks	bark
BELLY	bɛlɪ	wenter	bʉ:k
BIG	bɪg	ɡrandis	stuːr
BIRD	bɜ:d	awis	fo:gəl
BITE	baɪt	mordeːre	bì:ta
BITTER		amaːrus	
BLACK	blæk	niɡer	svaʈː
BLOOD	blʌd	sangwiːs	blu:d
BLOW	bləʊ	flaːre	blò:sa
BONE	bəʊn	os	beːn
BREATHE	bri:ð	spiːraːre	àndas
BURN	bɜ:n	ardeːre	brɛ̀nːa
CARRY		ferːe	
CHEST		pektus	brøst
CHILD	tʃaɪld	puer	bɑːɳ
CLAW		ungwis	
CLOUD	klaʊd	nuːbeːs	ɧy:
COLD	kəʊld	friːgidus	kalː
COME	kʌm	weniːre	kɔ̀mːa
COUNT	kaʊnt	numeraːre	rɛ̀:kna
CRY		laːkrimaːre	
CUT	kʌt	sekaːre	ɧæ̀ːra
DAY	deɪ	dieːs	dɑː(g)
DIE	daɪ	moriː	dø:
DIG	dɪg	fodere	grɛ̀:va
DIRTY	dɜ:tɪ	sordidus	ùːˌre:n
DO		fakere	
DOG	dɒg	kanis	hɵnd
DRINK	drɪŋk	bibere	drɪ̀kːa
DRY	draɪ	sikːus	tɔrː
DUST	dʌst	pulwis	stɔft
EAR	ɪə	au̯ris	œ̀ːra
EARTH	ɜ:θ	terːa	juːɖ
EAT	i:t	edere	ɛ̀:ta
EGG	ɛg	oːwum	ɛgː
EYE	aɪ	okulus	ø̀ːɡa
FALL	fɔ:l	kadere	fàlːa
FAR	fɑ:	prokul	lɔŋkt bɔ̀ʈːa
FAT	fæt	adeps	fɛtː
FATHER	fɑ:ðə	pater	fɑ̀:dər
FEAR	fɪə	timeːre	frɵ̀kta
FEATHER	'fɛðə	pluːma	fjɛ:dər
FIGHT	faɪt	pugnaːre	strì:da
FIRE	faɪə	ignis	ɛld
FISH	fɪʃ	piskis	fisk
FIVE	faɪv	kʷiːnkʷe	fɛmː
FLOWER	flaʊə	floːs	blʊ̀mːa
FLY_N		muska	
FLY_V	flaɪ	wolaːre	flỳ:ga
FOG	fɑg	nebula	ɕɔ̀kːa
FOOT	fʊt	peːs	fuːt
FOREST	wʊdz	silwa	skuːg
FOUR	fɔ:	kʷatːuor	fỳːra
FREEZE	fri:z	gelaːre	frỳ:sa
