,f_g_all_caps_wordcount,f_g_sentence_wo_cap_at_start,f_g_sentence_lower_at_start,f_g_a_an_error_count,f_g_cont_punct_count,f_i_quotation_count,f_i_question_count,f_i_exclamation_count,f_o_he_she_ratio,f_d_character_count,f_d_word_count,f_d_sentence_count,f_d_punctuation_count,f_d_digit_count,f_d_uppercase_count,f_d_short_word_count,f_d_alphabet_count,f_d_contraction_count,f_d_word_without_vowels_count,f_d_hapax_legomenon_count,f_c_mean_word_length,f_c_mean_sentence_length,f_c_word_length_standard_deviation,f_c_sentence_length_standard_deviation,f_c_mean_word_frequency,f_c_lexical_diversity_coefficient,f_c_syntactic_complexity_coefficient,f_c_herdans_log_type_token_richness,author
0,0,418,322,0,0,0,3,0,1.0,424,94,424,10,0,6,63,23,0,5,45,3.606,84.0,1.885,26.674,1.492,0.479,0.947,0.838,chesterton
1,0,2285,1785,0,0,0,0,0,2.75,2303,466,2303,80,5,18,316,26,3,24,170,4.052,459.8,2.62,309.439,2.053,0.365,0.989,0.836,austen
2,0,1517,1188,0,0,3,0,0,2.0,1545,321,1545,48,0,28,213,26,1,20,123,3.956,308.2,2.607,397.288,1.803,0.383,0.984,0.834,austen
3,0,301,216,0,0,2,0,1,0.6666666666666666,314,82,314,19,0,13,68,23,0,12,39,3.098,62.0,1.896,53.633,1.491,0.476,0.939,0.831,austen
4,0,295,217,0,0,0,1,1,1.0,317,75,317,19,0,22,53,22,0,10,33,3.44,62.6,1.862,61.002,1.562,0.44,0.933,0.81,shakespeare
5,0,721,558,1,1,0,0,0,0.25,754,159,754,28,0,33,106,25,1,12,70,3.893,150.0,2.356,166.45,1.486,0.44,0.969,0.838,shakespeare
6,0,765,602,0,0,0,0,0,6.0,785,163,785,19,0,20,107,25,0,1,73,3.933,156.2,2.365,50.928,1.614,0.448,0.969,0.842,chesterton
7,0,472,359,0,0,3,3,1,3.0,483,102,483,23,0,11,73,25,1,11,49,3.912,95.8,2.725,86.684,1.437,0.48,0.951,0.841,austen
8,0,396,294,0,0,1,0,0,2.0,405,94,405,21,0,9,68,23,0,10,47,3.479,80.2,2.208,51.804,1.492,0.5,0.947,0.847,austen
9,0,194,134,0,0,4,0,2,1.0,204,49,204,21,0,10,39,22,0,13,26,3.531,40.0,2.716,34.713,1.361,0.531,0.898,0.837,chesterton
10,0,428,322,0,0,2,1,0,2.0,439,102,439,18,0,11,74,23,0,16,55,3.5,87.0,2.219,66.794,1.378,0.539,0.951,0.866,chesterton
11,0,748,585,0,0,1,0,0,3.0,757,156,757,28,0,9,105,25,2,13,80,4.006,150.6,2.701,71.668,1.515,0.513,0.968,0.868,austen
12,0,340,252,0,0,2,0,0,1.0,351,85,351,15,0,11,61,22,0,14,28,3.318,69.4,1.959,39.431,1.809,0.329,0.941,0.75,chesterton
13,0,284,210,0,0,1,1,1,3.0,294,66,294,20,0,10,46,25,1,8,39,3.697,58.0,2.405,26.486,1.222,0.591,0.924,0.874,chesterton
14,0,641,515,0,0,0,0,0,1.0,649,125,649,15,0,8,82,26,0,2,70,4.304,129.0,2.522,53.122,1.488,0.56,0.96,0.88,chesterton
15,0,375,283,0,0,2,0,1,2.0,385,89,385,13,0,10,71,23,0,11,43,3.494,76.2,2.252,50.425,1.413,0.483,0.944,0.838,chesterton
