,f_g_all_caps_wordcount,f_g_sentence_wo_cap_at_start,f_g_sentence_lower_at_start,f_g_a_an_error_count,f_g_cont_punct_count,f_i_quotation_count,f_i_question_count,f_i_exclamation_count,f_o_he_she_ratio,f_d_character_count,f_d_word_count,f_d_sentence_count,f_d_punctuation_count,f_d_digit_count,f_d_uppercase_count,f_d_short_word_count,f_d_alphabet_count,f_d_contraction_count,f_d_word_without_vowels_count,f_d_hapax_legomenon_count,f_c_mean_word_length,f_c_mean_sentence_length,f_c_word_length_standard_deviation,f_c_sentence_length_standard_deviation,f_c_mean_word_frequency,f_c_lexical_diversity_coefficient,f_c_syntactic_complexity_coefficient,f_c_herdans_log_type_token_richness,author
count,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074.0,5074
unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,austen
freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2301
mean,0.08592826172644856,476.3659834450138,366.6570752857706,0.035474970437524636,0.11568782026014979,0.9584154513204572,0.46137169885691764,0.3486401261332282,1.7382038113093492,488.33484430429644,104.90204966495861,488.33484430429644,19.03271580607016,0.09065825778478517,11.968860859282618,73.48108001576665,23.50137958218368,0.6807252660622782,7.893180922349232,51.58750492707923,3.7150717382735507,96.9317698068585,2.3308196689002756,68.25164938904217,1.4450835632636971,0.5275338983050848,0.9301787544343713,0.8541720536066219,
std,1.0989426739230503,297.99691792466007,237.07810746300706,0.1973681083144553,0.5244074781462194,1.2628387119910354,0.7647529041016744,0.764408300998096,1.5664038257024346,301.03827627181744,59.83565823313293,301.03827627181744,10.31134261634174,1.643599320659228,8.528833298905642,40.15695768455704,1.9269372066593615,1.0609992845286613,5.46364260457517,23.487630054667825,0.3609932658141854,60.19051863173576,0.31886599036300517,52.963517021808414,0.17616826656614243,0.10300093935820051,0.057720922399583895,0.0377886285136693,
min,0.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,28.0,8.0,28.0,2.0,0.0,1.0,5.0,10.0,0.0,0.0,3.0,2.059,4.8,1.111,0.0,1.025,0.203,0.375,0.477,
25%,0.0,268.0,199.0,0.0,0.0,0.0,0.0,0.0,1.0,279.0,64.0,279.0,12.0,0.0,7.0,46.0,23.0,0.0,4.0,35.0,3.478,55.0,2.137,33.393,1.322,0.458,0.922,0.835,
50%,0.0,423.0,322.0,0.0,0.0,0.0,0.0,0.0,1.0,435.0,95.0,435.0,18.0,0.0,10.0,68.0,24.0,0.0,7.0,49.0,3.7255000000000003,86.2,2.34,55.097,1.434,0.516,0.947,0.856,
75%,0.0,622.0,483.0,0.0,0.0,2.0,1.0,0.0,2.0,635.0,135.0,635.0,24.0,0.0,14.0,93.0,25.0,1.0,11.0,65.0,3.97,126.35000000000001,2.53,86.2445,1.55,0.586,0.963,0.877,
max,50.0,2830.0,2226.0,3.0,8.0,7.0,7.0,6.0,12.0,2869.0,554.0,2869.0,154.0,91.0,270.0,390.0,28.0,9.0,58.0,207.0,5.8,573.0,8.538,578.087,2.312,0.926,0.991,0.977,
